"","accpt_id","state","county","totbeds","alzunit","profit","hospbase","restrain","acuindex2","avgage","pctchf","pcthyper","agg_female","pctvent_mds3","pctlowcfs","pctmidcfs","pcthighcfs","adj_rehosprate","fup_adj_rehosp"
"83","015151","AL","097",170,"Yes","Yes","No",0,13.399,73.66,21.05,85.26,57.54,0,34.38,48.96,16.67,"0.2209",0.1388
"84","015152","AL","069",170,"No","Yes","No",0.65,12.367,85.78,23.13,83.58,68.59,0,30.6,58.21,11.19,"0.1644",0.1144
"87","015155","AL","127",148,"Yes","Yes","No",0,12.145,81.49,28.32,74.34,63.48,0,41.59,48.67,9.73,"0.1556",0.1778
"88","015156","AL","049",123,"Yes","Yes","No",0.92,12.904,80.34,29.7,94.06,58.14,0,41.58,46.53,11.88,"0.1585",0.119
"91","015159","AL","009",120,"No","Yes","No",0.91,12.044,79.64,21.59,86.36,60,0,28.09,56.18,15.73,".",0.1452
"93","015162","AL","121",234,"No","Yes","No",0.53,13.25,69.59,17.54,76.61,56.83,0,45.35,38.95,15.7,"0.1527",0.1477
"94","015163","AL","095",159,"No","Yes","No",0.68,11.777,79.08,35.71,84.92,66.56,0,42.64,39.53,17.83,"0.1624",0.1572
"96","015166","AL","123",144,"No","Yes","No",0,13.741,76.11,19.77,82.56,62.16,0,29.89,56.32,13.79,"0.1493",0.08
"99","015169","AL","077",147,"Yes","Yes","No",0.76,11.849,77.09,14.41,77.12,66.95,0,50.41,36.36,13.22,"0.0971",0.1367
"101","015174","AL","055",124,"No","Yes","No",0,12.012,70.65,34.94,73.49,64.83,0,46.43,36.9,16.67,"0.2037",0.1946
"102","015175","AL","069",166,"Yes","No","No",0,11.181,81.61,24.22,84.38,66.16,0,32.03,52.34,15.63,"0.1490",0.1258
"106","015179","AL","113",74,"No","Yes","No",0,13.622,76.54,17.46,89.06,62.62,0,21.54,60,18.46,"0.1609",0.1596
"107","015180","AL","055",168,"No","Yes","No",0.67,13.299,79.27,31.78,89.15,70.95,0,46.15,43.08,10.77,"0.2133",0.1948
"109","015183","AL","097",172,"No","Yes","No",0,12.668,66.84,13.64,77.27,45.92,0,20.97,59.68,19.35,".",0.1729
"111","015186","AL","125",200,"Yes","Yes","No",1.69,12.558,75.24,8.78,71.62,57.66,0,34.67,50.67,14.67,"0.1536",0.1751
"113","015188","AL","025",91,"No","Yes","No",0,12.814,82.11,39.13,82.61,49.43,0,31.88,50.72,17.39,"0.1166",0.1608
"115","015191","AL","123",68,"No","Yes","No",0,13.547,76.95,31.03,81.03,58.51,0,41.67,36.67,21.67,".",0.1147
"117","015193","AL","013",118,"Yes","Yes","No",1.08,12.844,79.98,32.14,89.29,62.07,0,36.47,49.41,14.12,"0.0700",0.1416
"119","015195","AL","115",168,"Yes","No","No",0,13.512,82.39,25.53,82.27,66.36,0,24.11,44.68,31.21,"0.1589",0.2052
"122","015199","AL","005",180,"Yes","Yes","No",0.64,12.904,75.57,23.08,89.74,51.41,0,27.97,61.02,11.02,"0.2127",0.1778
"123","015200","AL","019",185,"Yes","No","No",3.98,12.998,78.46,27.04,71.07,63.29,0,30.19,44.03,25.79,"0.1807",0.1794
"129","015207","AL","049",200,"Yes","Yes","No",1.69,12.645,80.28,31.29,83.44,65.77,0,35.15,50.91,13.94,"0.1079",0.1238
"130","015208","AL","045",149,"Yes","Yes","No",0,12.512,78.59,14.78,77.39,61.77,0,36.97,41.18,21.85,".",0.1063
"131","015209","AL","073",180,"No","Yes","No",0,12.937,72.53,17.46,80.95,42.96,0,38.1,51.59,10.32,"0.1944",0.1947
"132","015210","AL","039",197,"Yes","Yes","No",0,13.231,80.02,14.08,67.61,63.03,0,19.01,48.59,32.39,"0.1675",0.1252
"133","015211","AL","097",131,"No","Yes","No",0,13.96,71.54,26.85,92.59,46.95,0,27.93,52.25,19.82,".",0.2215
"135","015213","AL","109",234,"No","Yes","No",0,14.329,75.45,23.39,77.42,65.78,0,39.2,38.4,22.4,"0.2462",0.1985
"136","015214","AL","089",80,"No","Yes","No",3.13,12.857,80.77,20.69,79.31,72.73,0,17.24,36.21,46.55,"0.1580",0.1761
"137","015215","AL","007",131,"No","No","Yes",0,13.564,81.93,19.3,84.21,74.49,0,43.48,34.78,21.74,".",0.1136
"138","015216","AL","045",138,"Yes","No","No",1.53,12.134,72.56,25,85.19,57.79,0,33.33,51.35,15.32,".",0.1071
"140","015219","AL","073",198,"Yes","Yes","No",0.81,11.603,64.94,9.48,83.62,55.14,0,47.41,35.34,17.24,"0.1775",0.3007
"142","015221","AL","123",188,"No","Yes","No",0,11.636,80.39,33.9,79.66,62.74,0,38.14,52.54,9.32,"0.1195",0.1219
"145","015225","AL","095",113,"Yes","Yes","No",3.6,12.193,84.46,32,79,80.95,0,21,65,14,".",0.2036
"146","015227","AL","075",158,"No","Yes","No",0.86,11.703,73.85,16.67,66.36,58.45,0,27.27,60,12.73,"0.1262",0.1991
"148","015303","AL","073",163,"Yes","Yes","No",0.76,12.293,68.92,15.7,71.9,43.08,0,38.52,52.46,9.02,"0.3181",0.1972
"150","015320","AL","031",257,"No","No","No",0.98,13.024,79.33,30.11,83.87,64.15,0,19.35,65.59,15.05,"0.0894",0.0942
"151","015321","AL","073",101,"No","Yes","No",0,12.626,80.12,14.44,58.89,55,0,12.09,76.92,10.99,".",0.1078
"152","015322","AL","099",87,"No","Yes","No",0,13.758,78.12,49.32,98.63,53.03,0,31.08,35.14,33.78,"0.1379",0.1808
"153","015326","AL","125",152,"No","Yes","No",1.5,12.632,70.15,9.84,68.03,47.18,0,46.72,42.62,10.66,"0.2221",0.177
"156","015336","AL","041",151,"No","Yes","No",0,11.725,77.09,21.05,84.21,63.06,0,28.68,63.97,7.35,".",0.1082
"158","015369","AL","073",130,"No","No","No",0.81,12.412,84.33,21.3,83.33,69.23,0,26.85,62.96,10.19,".",0.198
"159","015371","AL","125",216,"No","Yes","No",0.64,13.962,81.74,14.71,70.59,68.33,0,36.5,48.91,14.6,"0.1622",0.1903
"164","015376","AL","093",123,"No","Yes","No",3.54,12.851,72.93,14.29,64.29,55.48,0,25.51,55.1,19.39,"0.1827",0.1601
"165","015378","AL","095",91,"No","Yes","No",0,13.02,78.53,18.75,78.13,63.54,0,29.69,51.56,18.75,"0.1767",0.1597
"166","015379","AL","097",120,"No","Yes","No",0.95,12.668,80.39,15.96,81.91,65.75,0,24.21,62.11,13.68,"0.1697",0.1762
"170","015383","AL","043",149,"No","Yes","No",0,11.535,84.05,38.4,82.4,65.71,0,31.25,59.38,9.38,"0.1354",0.1719
"173","015388","AL","073",108,"No","No","No",0,14.19,83.37,20.22,89.89,79.62,0,35.96,52.81,11.24,"0.1589",0.1875
"174","015390","AL","101",284,"No","Yes","No",0.43,11.641,72.86,16.97,85.32,52.61,0,25.69,63.76,10.55,"0.1496",0.1742
"175","015391","AL","015",167,"Yes","Yes","No",0,12.85,75.38,14.05,76.86,61,0,46.46,43.31,10.24,"0.1496",0.1201
"177","015393","AL","101",185,"No","Yes","No",0.63,13.385,80.68,25.68,85.81,60.99,0,27.33,60.67,12,".",0.1147
"180","015398","AL","099",84,"No","Yes","No",0,14.51,79.01,19.74,84.21,56.34,0,28.95,52.63,18.42,"0.1259",0.0588
